# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database may not 
# have received Director's approval.  Any such data values are qualified as provisional and 
# are subject to revision.  Provisional data are released on the condition that neither the 
# USGS nor the United States Government may be held liable for any damages resulting from its use.
#  Go to http://help.waterdata.usgs.gov/policies/provisional-data-statement for more information.
#
# File-format description:  http://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: http://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2023-05-18 18:26:12 -04:00	(nadww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 08211520 Oso Ck at Corpus Christi, TX
# -----------------------------------------------------------------------------------
#
# TS_ID - An internal number representing a time series.
#
# Data provided for site 08211520
#    TS_ID       Parameter Description
#    142059      00060     Discharge, cubic feet per second
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
#     P  Provisional data subject to revision.
#
agency_cd	site_no	datetime	tz_cd	142059_00060	142059_00060_cd
5s	15s	20d	6s	14n	10s
USGS	08211520	2022-01-01 01:00	CST	3.17	A
USGS	08211520	2022-01-01 01:15	CST	3.31	A
USGS	08211520	2022-01-01 01:30	CST	3.31	A
USGS	08211520	2022-01-01 01:45	CST	3.11	A
USGS	08211520	2022-01-01 02:00	CST	3.24	A
USGS	08211520	2022-01-01 02:15	CST	3.17	A
USGS	08211520	2022-01-01 02:30	CST	3.17	A
USGS	08211520	2022-01-01 02:45	CST	3.17	A
USGS	08211520	2022-01-01 03:00	CST	3.24	A
USGS	08211520	2022-01-01 03:15	CST	3.17	A
USGS	08211520	2022-01-01 03:30	CST	3.17	A
USGS	08211520	2022-01-01 03:45	CST	3.17	A
USGS	08211520	2022-01-01 04:00	CST	3.17	A
USGS	08211520	2022-01-01 04:15	CST	3.24	A
USGS	08211520	2022-01-01 04:30	CST	3.10	A
USGS	08211520	2022-01-01 04:45	CST	3.17	A
USGS	08211520	2022-01-01 05:00	CST	3.10	A
USGS	08211520	2022-01-01 05:15	CST	3.04	A
USGS	08211520	2022-01-01 05:30	CST	3.10	A
USGS	08211520	2022-01-01 05:45	CST	3.17	A
USGS	08211520	2022-01-01 06:00	CST	3.24	A
USGS	08211520	2022-01-01 06:15	CST	3.24	A
USGS	08211520	2022-01-01 06:30	CST	3.10	A
USGS	08211520	2022-01-01 06:45	CST	3.31	A
USGS	08211520	2022-01-01 07:00	CST	3.10	A
USGS	08211520	2022-01-01 07:15	CST	3.24	A
USGS	08211520	2022-01-01 07:30	CST	3.10	A
USGS	08211520	2022-01-01 07:45	CST	3.10	A
USGS	08211520	2022-01-01 08:00	CST	3.10	A
USGS	08211520	2022-01-01 08:15	CST	3.04	A
USGS	08211520	2022-01-01 08:30	CST	3.17	A
USGS	08211520	2022-01-01 08:45	CST	3.24	A
USGS	08211520	2022-01-01 09:00	CST	3.17	A
USGS	08211520	2022-01-01 09:15	CST	3.10	A
USGS	08211520	2022-01-01 09:30	CST	3.17	A
USGS	08211520	2022-01-01 09:45	CST	3.17	A
USGS	08211520	2022-01-01 10:00	CST	3.04	A
USGS	08211520	2022-01-01 10:15	CST	3.17	A
USGS	08211520	2022-01-01 10:30	CST	3.17	A
USGS	08211520	2022-01-01 10:45	CST	3.24	A
USGS	08211520	2022-01-01 11:00	CST	3.10	A
USGS	08211520	2022-01-01 11:15	CST	3.10	A
USGS	08211520	2022-01-01 11:30	CST	3.30	A
USGS	08211520	2022-01-01 11:45	CST	3.24	A
USGS	08211520	2022-01-01 12:00	CST	3.10	A
USGS	08211520	2022-01-01 12:15	CST	3.24	A
USGS	08211520	2022-01-01 12:30	CST	3.17	A
USGS	08211520	2022-01-01 12:45	CST	3.17	A
USGS	08211520	2022-01-01 13:00	CST	3.17	A
USGS	08211520	2022-01-01 13:15	CST	3.24	A
USGS	08211520	2022-01-01 13:30	CST	3.24	A
USGS	08211520	2022-01-01 13:45	CST	3.24	A
USGS	08211520	2022-01-01 14:00	CST	3.24	A
USGS	08211520	2022-01-01 14:15	CST	3.10	A
USGS	08211520	2022-01-01 14:30	CST	3.10	A
USGS	08211520	2022-01-01 14:45	CST	3.23	A
USGS	08211520	2022-01-01 15:00	CST	3.23	A
USGS	08211520	2022-01-01 15:15	CST	3.17	A
USGS	08211520	2022-01-01 15:30	CST	3.23	A
USGS	08211520	2022-01-01 15:45	CST	3.17	A
USGS	08211520	2022-01-01 16:00	CST	3.23	A
USGS	08211520	2022-01-01 16:15	CST	3.17	A
USGS	08211520	2022-01-01 16:30	CST	3.17	A
USGS	08211520	2022-01-01 16:45	CST	3.17	A
USGS	08211520	2022-01-01 17:00	CST	3.30	A
USGS	08211520	2022-01-01 17:15	CST	3.30	A
USGS	08211520	2022-01-01 17:30	CST	3.17	A
USGS	08211520	2022-01-01 17:45	CST	3.17	A
USGS	08211520	2022-01-01 18:00	CST	3.10	A
USGS	08211520	2022-01-01 18:15	CST	3.23	A
USGS	08211520	2022-01-01 18:30	CST	3.23	A
USGS	08211520	2022-01-01 18:45	CST	3.17	A
USGS	08211520	2022-01-01 19:00	CST	3.23	A
USGS	08211520	2022-01-01 19:15	CST	3.03	A
USGS	08211520	2022-01-01 19:30	CST	3.23	A
USGS	08211520	2022-01-01 19:45	CST	3.17	A
USGS	08211520	2022-01-01 20:00	CST	3.10	A
USGS	08211520	2022-01-01 20:15	CST	3.17	A
USGS	08211520	2022-01-01 20:45	CST	3.17	A
USGS	08211520	2022-01-01 21:00	CST	3.10	A
USGS	08211520	2022-01-01 21:15	CST	3.23	A
USGS	08211520	2022-01-01 21:30	CST	3.10	A
USGS	08211520	2022-01-01 21:45	CST	3.16	A
USGS	08211520	2022-01-01 22:00	CST	3.23	A
USGS	08211520	2022-01-01 22:15	CST	3.23	A
USGS	08211520	2022-01-01 22:30	CST	3.16	A
USGS	08211520	2022-01-01 22:45	CST	3.03	A
USGS	08211520	2022-01-01 23:00	CST	3.23	A
USGS	08211520	2022-01-01 23:30	CST	3.10	A
USGS	08211520	2022-01-01 23:45	CST	3.10	A
USGS	08211520	2022-01-02 00:00	CST	3.10	A
USGS	08211520	2022-01-02 00:15	CST	3.10	A
USGS	08211520	2022-01-02 00:30	CST	3.10	A
USGS	08211520	2022-01-02 00:45	CST	3.16	A
USGS	08211520	2022-01-02 01:00	CST	3.16	A
USGS	08211520	2022-01-02 01:15	CST	3.23	A
USGS	08211520	2022-01-02 01:30	CST	3.03	A
USGS	08211520	2022-01-02 01:45	CST	3.16	A
USGS	08211520	2022-01-02 02:00	CST	3.03	A
USGS	08211520	2022-01-02 02:15	CST	3.16	A
USGS	08211520	2022-01-02 02:30	CST	3.10	A
USGS	08211520	2022-01-02 02:45	CST	3.03	A
USGS	08211520	2022-01-02 03:00	CST	3.03	A
USGS	08211520	2022-01-02 03:15	CST	3.03	A
USGS	08211520	2022-01-02 03:30	CST	3.16	A
USGS	08211520	2022-01-02 03:45	CST	3.10	A
USGS	08211520	2022-01-02 04:00	CST	3.10	A
USGS	08211520	2022-01-02 04:15	CST	3.10	A
USGS	08211520	2022-01-02 04:30	CST	3.03	A
USGS	08211520	2022-01-02 04:45	CST	3.10	A
USGS	08211520	2022-01-02 05:00	CST	3.09	A
USGS	08211520	2022-01-02 05:15	CST	3.09	A
USGS	08211520	2022-01-02 05:30	CST	3.03	A
USGS	08211520	2022-01-02 05:45	CST	3.16	A
USGS	08211520	2022-01-02 06:00	CST	3.09	A
USGS	08211520	2022-01-02 06:15	CST	3.09	A
USGS	08211520	2022-01-02 06:30	CST	3.03	A
USGS	08211520	2022-01-02 06:45	CST	3.03	A
USGS	08211520	2022-01-02 07:00	CST	3.09	A
USGS	08211520	2022-01-02 07:15	CST	3.09	A
USGS	08211520	2022-01-02 07:30	CST	3.03	A
USGS	08211520	2022-01-02 07:45	CST	3.09	A
USGS	08211520	2022-01-02 08:00	CST	3.16	A
USGS	08211520	2022-01-02 08:15	CST	3.09	A
USGS	08211520	2022-01-02 08:30	CST	3.23	A
USGS	08211520	2022-01-02 08:45	CST	3.09	A
USGS	08211520	2022-01-02 09:00	CST	3.09	A
USGS	08211520	2022-01-02 09:15	CST	3.03	A
USGS	08211520	2022-01-02 09:30	CST	3.09	A
USGS	08211520	2022-01-02 09:45	CST	3.03	A
USGS	08211520	2022-01-02 10:00	CST	2.96	A
USGS	08211520	2022-01-02 10:15	CST	3.03	A
USGS	08211520	2022-01-02 10:30	CST	3.16	A
USGS	08211520	2022-01-02 10:45	CST	3.23	A
USGS	08211520	2022-01-02 11:15	CST	3.16	A
USGS	08211520	2022-01-02 11:30	CST	3.29	A
USGS	08211520	2022-01-02 11:45	CST	3.16	A
USGS	08211520	2022-01-02 12:00	CST	3.03	A
USGS	08211520	2022-01-02 12:15	CST	3.23	A
USGS	08211520	2022-01-02 12:30	CST	3.23	A
USGS	08211520	2022-01-02 12:45	CST	3.16	A
USGS	08211520	2022-01-02 13:00	CST	3.23	A
USGS	08211520	2022-01-02 13:15	CST	3.23	A
USGS	08211520	2022-01-02 13:30	CST	3.36	A
USGS	08211520	2022-01-02 13:45	CST	3.23	A
USGS	08211520	2022-01-02 14:00	CST	3.29	A
USGS	08211520	2022-01-02 14:15	CST	3.29	A
USGS	08211520	2022-01-02 14:30	CST	3.23	A
USGS	08211520	2022-01-02 14:45	CST	3.29	A
USGS	08211520	2022-01-02 15:00	CST	3.23	A
USGS	08211520	2022-01-02 15:15	CST	3.23	A
USGS	08211520	2022-01-02 15:30	CST	3.29	A
USGS	08211520	2022-01-02 15:45	CST	3.36	A
USGS	08211520	2022-01-02 16:00	CST	3.29	A
USGS	08211520	2022-01-02 16:15	CST	3.43	A
USGS	08211520	2022-01-02 16:30	CST	3.22	A
USGS	08211520	2022-01-02 16:45	CST	3.29	A
USGS	08211520	2022-01-02 17:00	CST	3.29	A
USGS	08211520	2022-01-02 17:15	CST	3.22	A
USGS	08211520	2022-01-02 17:30	CST	3.29	A
USGS	08211520	2022-01-02 17:45	CST	3.22	A
USGS	08211520	2022-01-02 18:00	CST	3.22	A
USGS	08211520	2022-01-02 18:15	CST	3.22	A
USGS	08211520	2022-01-02 18:30	CST	3.22	A
USGS	08211520	2022-01-02 18:45	CST	3.29	A
USGS	08211520	2022-01-02 19:00	CST	3.22	A
USGS	08211520	2022-01-02 19:15	CST	3.36	A
USGS	08211520	2022-01-02 19:30	CST	3.16	A
USGS	08211520	2022-01-02 19:45	CST	3.22	A
USGS	08211520	2022-01-02 20:00	CST	3.22	A
USGS	08211520	2022-01-02 20:15	CST	3.16	A
USGS	08211520	2022-01-02 20:30	CST	3.16	A
USGS	08211520	2022-01-02 20:45	CST	3.16	A
USGS	08211520	2022-01-02 21:00	CST	3.02	A
USGS	08211520	2022-01-02 21:15	CST	3.22	A
USGS	08211520	2022-01-02 21:30	CST	3.16	A
USGS	08211520	2022-01-02 21:45	CST	3.09	A
USGS	08211520	2022-01-02 22:15	CST	3.16	A
USGS	08211520	2022-01-02 22:30	CST	3.22	A
USGS	08211520	2022-01-02 22:45	CST	3.22	A
USGS	08211520	2022-01-02 23:00	CST	3.15	A
USGS	08211520	2022-01-02 23:15	CST	3.22	A
USGS	08211520	2022-01-02 23:30	CST	3.09	A
USGS	08211520	2022-01-02 23:45	CST	3.15	A
USGS	08211520	2022-01-03 00:00	CST	3.15	A
USGS	08211520	2022-01-03 00:15	CST	3.29	A
USGS	08211520	2022-01-03 00:30	CST	3.22	A
USGS	08211520	2022-01-03 00:45	CST	3.29	A
USGS	08211520	2022-01-03 01:00	CST	3.22	A
USGS	08211520	2022-01-03 01:15	CST	3.22	A
USGS	08211520	2022-01-03 01:30	CST	3.22	A
USGS	08211520	2022-01-03 01:45	CST	3.09	A
USGS	08211520	2022-01-03 02:00	CST	3.15	A
USGS	08211520	2022-01-03 02:15	CST	3.09	A
USGS	08211520	2022-01-03 02:30	CST	3.22	A
USGS	08211520	2022-01-03 02:45	CST	3.15	A
USGS	08211520	2022-01-03 03:00	CST	3.09	A
USGS	08211520	2022-01-03 03:15	CST	3.09	A
USGS	08211520	2022-01-03 03:30	CST	3.02	A
USGS	08211520	2022-01-03 03:45	CST	3.22	A
USGS	08211520	2022-01-03 04:00	CST	3.15	A
USGS	08211520	2022-01-03 04:15	CST	3.02	A
USGS	08211520	2022-01-03 04:30	CST	3.09	A
USGS	08211520	2022-01-03 04:45	CST	3.02	A
USGS	08211520	2022-01-03 05:00	CST	3.09	A
USGS	08211520	2022-01-03 05:15	CST	3.09	A
USGS	08211520	2022-01-03 05:45	CST	3.09	A
USGS	08211520	2022-01-03 06:00	CST	3.02	A
USGS	08211520	2022-01-03 06:15	CST	3.09	A
USGS	08211520	2022-01-03 06:30	CST	3.15	A
USGS	08211520	2022-01-03 06:45	CST	3.02	A
USGS	08211520	2022-01-03 07:00	CST	3.15	A
USGS	08211520	2022-01-03 07:15	CST	3.02	A
USGS	08211520	2022-01-03 07:30	CST	3.08	A
USGS	08211520	2022-01-03 07:45	CST	3.02	A
USGS	08211520	2022-01-03 08:00	CST	2.95	A
USGS	08211520	2022-01-03 08:15	CST	3.08	A
USGS	08211520	2022-01-03 08:30	CST	2.95	A
USGS	08211520	2022-01-03 08:45	CST	2.95	A
USGS	08211520	2022-01-03 09:00	CST	2.95	A
USGS	08211520	2022-01-03 09:15	CST	2.95	A
USGS	08211520	2022-01-03 09:45	CST	2.95	A
USGS	08211520	2022-01-03 10:00	CST	3.08	A
USGS	08211520	2022-01-03 10:30	CST	2.95	A
USGS	08211520	2022-01-03 10:45	CST	3.15	A
USGS	08211520	2022-01-03 11:15	CST	3.02	A
USGS	08211520	2022-01-03 11:45	CST	2.95	A
USGS	08211520	2022-01-03 12:00	CST	3.02	A
USGS	08211520	2022-01-03 12:15	CST	3.08	A
USGS	08211520	2022-01-03 12:30	CST	3.02	A
USGS	08211520	2022-01-03 12:45	CST	3.08	A
USGS	08211520	2022-01-03 13:00	CST	2.95	A
USGS	08211520	2022-01-03 13:15	CST	3.02	A
USGS	08211520	2022-01-03 13:30	CST	3.08	A
USGS	08211520	2022-01-03 13:45	CST	3.15	A
USGS	08211520	2022-01-03 14:00	CST	3.15	A
USGS	08211520	2022-01-03 14:15	CST	2.95	A
USGS	08211520	2022-01-03 14:30	CST	3.15	A
USGS	08211520	2022-01-03 14:45	CST	3.22	A
USGS	08211520	2022-01-03 15:00	CST	3.08	A
USGS	08211520	2022-01-03 15:15	CST	3.08	A
USGS	08211520	2022-01-03 15:30	CST	3.02	A
USGS	08211520	2022-01-03 15:45	CST	3.02	A
USGS	08211520	2022-01-03 16:00	CST	3.08	A
USGS	08211520	2022-01-03 16:15	CST	3.02	A
USGS	08211520	2022-01-03 16:30	CST	3.15	A
USGS	08211520	2022-01-03 16:45	CST	3.08	A
USGS	08211520	2022-01-03 17:00	CST	3.08	A
USGS	08211520	2022-01-03 17:15	CST	3.15	A
USGS	08211520	2022-01-03 17:30	CST	3.08	A
USGS	08211520	2022-01-03 17:45	CST	3.08	A
USGS	08211520	2022-01-03 18:00	CST	3.08	A
USGS	08211520	2022-01-03 18:15	CST	3.15	A
USGS	08211520	2022-01-03 18:30	CST	3.28	A
USGS	08211520	2022-01-03 18:45	CST	3.15	A
